fecha,valor
2018-08-21,6.060674
2018-08-22,6.061406
2018-08-23,6.062138
2018-08-24,6.062871
2018-08-25,6.063603
2018-08-26,6.064901
2018-08-27,6.066199
2018-08-28,6.067498
2018-08-29,6.068796
2018-08-30,6.070095
2018-08-31,6.071394
2018-09-01,6.072694
2018-09-02,6.073994
2018-09-03,6.075294
2018-09-04,6.076594
2018-09-05,6.077894
2018-09-06,6.079195
2018-09-07,6.080496
2018-09-08,6.081798
2018-09-09,6.0831
2018-09-10,6.084401
2018-09-11,6.085604
2018-09-12,6.086808
2018-09-13,6.088011
2018-09-14,6.089215
2018-09-15,6.090419
2018-09-16,6.091623
2018-09-17,6.092827
2018-09-18,6.094032
2018-09-19,6.095237
2018-09-20,6.096442
2018-09-21,6.097647
2018-09-22,6.098853
2018-09-23,6.100059
2018-09-24,6.101265
2018-09-25,6.102471
2018-09-26,6.103376
2018-09-27,6.10428
2018-09-28,6.105185
2018-09-29,6.10609
2018-09-30,6.106995
2018-10-01,6.1079
2018-10-02,6.108806
2018-10-03,6.109711
2018-10-04,6.110617
2018-10-05,6.111523
2018-10-06,6.112429
2018-10-07,6.113335
2018-10-08,6.114241
2018-10-09,6.115147
2018-10-10,6.116054
2018-10-11,6.116478
2018-10-12,6.116902
2018-10-13,6.117326
2018-10-14,6.117751
2018-10-15,6.118175
2018-10-16,6.118599
2018-10-17,6.119024
2018-10-18,6.119448
2018-10-19,6.119873
2018-10-20,6.120297
2018-10-21,6.120722
2018-10-22,6.121146
2018-10-23,6.121571
2018-10-24,6.121996
2018-10-25,6.12242
2018-10-26,6.123941
2018-10-27,6.125462
2018-10-28,6.126983
2018-10-29,6.128505
2018-10-30,6.130027
2018-10-31,6.13155
2018-11-01,6.133073
2018-11-02,6.134596
2018-11-03,6.13612
2018-11-04,6.137644
2018-11-05,6.139168
2018-11-06,6.140693
2018-11-07,6.142218
2018-11-08,6.143744
2018-11-09,6.14527
2018-11-10,6.146796
2018-11-11,6.147349
2018-11-12,6.147903
2018-11-13,6.148457
2018-11-14,6.14901
2018-11-15,6.149564
2018-11-16,6.150117
2018-11-17,6.150671
2018-11-18,6.151225
2018-11-19,6.151779
2018-11-20,6.152333
2018-11-21,6.152887
2018-11-22,6.153441
2018-11-23,6.153995
2018-11-24,6.154549
2018-11-25,6.155103
2018-11-26,6.157614
2018-11-27,6.160127
2018-11-28,6.16264
2018-11-29,6.165154
2018-11-30,6.16767
2018-12-01,6.170186
2018-12-02,6.172703
2018-12-03,6.175222
2018-12-04,6.177741
2018-12-05,6.180262
2018-12-06,6.182783
2018-12-07,6.185306
2018-12-08,6.187829
2018-12-09,6.190354
2018-12-10,6.192879
2018-12-11,6.194256
2018-12-12,6.195632
2018-12-13,6.197009
2018-12-14,6.198386
2018-12-15,6.199764
2018-12-16,6.201142
2018-12-17,6.20252
2018-12-18,6.203898
2018-12-19,6.205277
2018-12-20,6.206656
2018-12-21,6.208036
2018-12-22,6.209415
2018-12-23,6.210795
2018-12-24,6.212176
2018-12-25,6.213556
2018-12-26,6.215733
2018-12-27,6.217911
2018-12-28,6.22009
2018-12-29,6.222269
2018-12-30,6.22445
2018-12-31,6.226631
2019-01-01,6.228812
2019-01-02,6.230995
2019-01-03,6.233178
2019-01-04,6.235362
2019-01-05,6.237547
2019-01-06,6.239733
2019-01-07,6.241919
2019-01-08,6.244106
2019-01-09,6.246294
2019-01-10,6.248483
2019-01-11,6.248252
2019-01-12,6.248022
2019-01-13,6.247791
2019-01-14,6.247561
2019-01-15,6.24733
2019-01-16,6.2471
2019-01-17,6.246869
2019-01-18,6.246639
2019-01-19,6.246409
2019-01-20,6.246178
2019-01-21,6.245948
2019-01-22,6.245717
2019-01-23,6.245487
2019-01-24,6.245257
2019-01-25,6.245026
2019-01-26,6.245454
2019-01-27,6.245882
2019-01-28,6.246311
2019-01-29,6.246739
2019-01-30,6.247167
2019-01-31,6.247595
2019-02-01,6.248023
2019-02-02,6.248451
2019-02-03,6.24888
2019-02-04,6.249308
2019-02-05,6.249736
2019-02-06,6.250165
2019-02-07,6.250593
2019-02-08,6.251021
2019-02-09,6.25145
2019-02-10,6.251878
2019-02-11,6.251907
2019-02-12,6.251935
2019-02-13,6.251963
2019-02-14,6.251991
2019-02-15,6.25202
2019-02-16,6.252048
2019-02-17,6.252076
2019-02-18,6.252105
2019-02-19,6.252133
2019-02-20,6.252161
2019-02-21,6.252189
2019-02-22,6.252218
2019-02-23,6.252246
2019-02-24,6.252274
2019-02-25,6.252303
2019-02-26,6.251822
2019-02-27,6.251341
2019-02-28,6.250861
2019-03-01,6.25038
2019-03-02,6.2499
2019-03-03,6.249419
2019-03-04,6.248939
2019-03-05,6.248459
2019-03-06,6.247978
2019-03-07,6.247498
2019-03-08,6.247018
2019-03-09,6.246537
2019-03-10,6.246057
2019-03-11,6.246627
2019-03-12,6.247196
2019-03-13,6.247766
2019-03-14,6.248336
2019-03-15,6.248906
2019-03-16,6.249476
2019-03-17,6.250046
2019-03-18,6.250616
2019-03-19,6.251186
2019-03-20,6.251756
2019-03-21,6.252326
2019-03-22,6.252896
2019-03-23,6.253466
2019-03-24,6.254036
2019-03-25,6.254607
2019-03-26,6.25561
2019-03-27,6.256613
2019-03-28,6.257617
2019-03-29,6.25862
2019-03-30,6.259624
2019-03-31,6.260628
2019-04-01,6.261632
2019-04-02,6.262636
2019-04-03,6.26364
2019-04-04,6.264645
2019-04-05,6.26565
2019-04-06,6.266654
2019-04-07,6.267659
2019-04-08,6.268665
2019-04-09,6.26967
2019-04-10,6.270675
2019-04-11,6.271168
2019-04-12,6.271661
2019-04-13,6.272154
2019-04-14,6.272647
2019-04-15,6.27314
2019-04-16,6.273633
2019-04-17,6.274127
2019-04-18,6.27462
2019-04-19,6.275113
2019-04-20,6.275606
2019-04-21,6.276099
2019-04-22,6.276593
2019-04-23,6.277086
2019-04-24,6.27758
2019-04-25,6.278073
2019-04-26,6.277927
2019-04-27,6.277782
2019-04-28,6.277636
2019-04-29,6.277491
2019-04-30,6.277345
2019-05-01,6.2772
2019-05-02,6.277054
2019-05-03,6.276909
2019-05-04,6.276763
2019-05-05,6.276618
2019-05-06,6.276472
2019-05-07,6.276327
2019-05-08,6.276181
2019-05-09,6.276036
2019-05-10,6.27589
2019-05-11,6.276137
2019-05-12,6.276383
2019-05-13,6.27663
2019-05-14,6.276876
2019-05-15,6.277123
2019-05-16,6.277369
2019-05-17,6.277616
2019-05-18,6.277863
2019-05-19,6.278109
2019-05-20,6.278356
2019-05-21,6.278602
2019-05-22,6.278849
2019-05-23,6.279096
2019-05-24,6.279342
2019-05-25,6.279589
2019-05-26,6.278405
2019-05-27,6.277221
2019-05-28,6.276037
2019-05-29,6.274854
2019-05-30,6.273671
2019-05-31,6.272488
2019-06-01,6.271305
2019-06-02,6.270123
2019-06-03,6.26894
2019-06-04,6.267758
2019-06-05,6.266576
2019-06-06,6.265395
2019-06-07,6.264213
2019-06-08,6.263032
2019-06-09,6.261851
2019-06-10,6.26067
2019-06-11,6.260533
2019-06-12,6.260396
2019-06-13,6.260258
2019-06-14,6.260121
2019-06-15,6.259983
2019-06-16,6.259846
2019-06-17,6.259708
2019-06-18,6.259571
2019-06-19,6.259433
2019-06-20,6.259296
2019-06-21,6.259159
2019-06-22,6.259021
2019-06-23,6.258884
2019-06-24,6.258746
2019-06-25,6.258609
2019-06-26,6.258645
2019-06-27,6.258682
2019-06-28,6.258718
2019-06-29,6.258754
2019-06-30,6.258791
2019-07-01,6.258827
2019-07-02,6.258863
2019-07-03,6.2589
2019-07-04,6.258936
2019-07-05,6.258973
2019-07-06,6.259009
2019-07-07,6.259045
2019-07-08,6.259082
2019-07-09,6.259118
2019-07-10,6.259155
2019-07-11,6.259752
2019-07-12,6.26035
2019-07-13,6.260948
2019-07-14,6.261546
2019-07-15,6.262144
2019-07-16,6.262743
2019-07-17,6.263341
2019-07-18,6.263939
2019-07-19,6.264537
2019-07-20,6.265136
2019-07-21,6.265734
2019-07-22,6.266333
2019-07-23,6.266931
2019-07-24,6.26753
2019-07-25,6.268129
2019-07-26,6.269192
2019-07-27,6.270256
2019-07-28,6.27132
2019-07-29,6.272384
2019-07-30,6.273448
2019-07-31,6.274513
2019-08-01,6.275577
2019-08-02,6.276642
2019-08-03,6.277707
2019-08-04,6.278772
2019-08-05,6.279838
2019-08-06,6.280903
2019-08-07,6.281969
2019-08-08,6.283035
2019-08-09,6.284101
2019-08-10,6.285167
2019-08-11,6.285434
2019-08-12,6.285701
2019-08-13,6.285968
2019-08-14,6.286234
2019-08-15,6.286501
2019-08-16,6.286768
2019-08-17,6.287035
2019-08-18,6.287301
2019-08-19,6.287568
2019-08-20,6.287835
2019-08-21,6.288102
2019-08-22,6.288369
2019-08-23,6.288636
2019-08-24,6.288903
2019-08-25,6.289169
2019-08-26,6.288874
2019-08-27,6.288578
2019-08-28,6.288282
2019-08-29,6.287987
2019-08-30,6.287691
2019-08-31,6.287395
2019-09-01,6.2871
2019-09-02,6.286804
2019-09-03,6.286509
2019-09-04,6.286213
2019-09-05,6.285917
2019-09-06,6.285622
2019-09-07,6.285326
2019-09-08,6.285031
2019-09-09,6.284735
2019-09-10,6.28444
2019-09-11,6.284662
2019-09-12,6.284884
2019-09-13,6.285107
2019-09-14,6.285329
2019-09-15,6.285551
2019-09-16,6.285774
2019-09-17,6.285996
2019-09-18,6.286218
2019-09-19,6.286441
2019-09-20,6.286663
2019-09-21,6.286885
2019-09-22,6.287108
2019-09-23,6.28733
2019-09-24,6.287552
2019-09-25,6.287775
2019-09-26,6.288502
2019-09-27,6.289229
2019-09-28,6.289956
2019-09-29,6.290683
2019-09-30,6.291411
2019-10-01,6.292138
2019-10-02,6.292866
2019-10-03,6.293593
2019-10-04,6.294321
2019-10-05,6.295049
2019-10-06,6.295777
2019-10-07,6.296505
