fecha,fix,inpc,tasa_obj,fix_var_m,inpc_var_m,tasa_obj_var_m,fix_var_a,inpc_var_a
2018-01-31,18.6069,5.972403,7.25,,,,,
2018-02-28,18.8331,6.00262,7.5,1.2156780549151147,0.5059437549676415,0.25,,
2018-03-31,18.2709,6.021319,7.5,-2.9851697277665457,0.31151397223212474,0.0,,
2018-04-30,18.7878,6.026212,7.5,2.829088879037145,0.08126126518126497,0.0,,
2018-05-31,19.9759,6.005882,7.5,6.323784583612757,-0.3373595220347414,0.0,,
2018-06-30,19.6912,6.012993,7.75,-1.425217386951283,0.11840059461707408,0.25,,
2018-07-31,18.6457,6.040489,7.75,-5.309478345656926,0.45727643454764877,0.0,,
2018-08-31,19.1792,6.071394,7.75,2.861249510611019,0.5116307636682915,0.0,,
2018-09-30,18.7231,6.106995,7.75,-2.3780971051973077,0.5863727506401517,0.0,,
2018-10-31,20.3177,6.13155,7.75,8.516752033584174,0.4020799100048267,0.0,,
2018-11-30,20.3455,6.16767,8.0,0.13682651087476572,0.5890843261491918,0.25,,
2018-12-31,19.6512,6.226631,8.25,-3.412548229338197,0.9559687856192101,0.25,,
2019-01-31,19.0388,6.247595,8.25,-3.116349128806384,0.33668287072092795,0.0,2.3211819271345524,4.607726571699855
2019-02-28,19.2607,6.250861,8.25,1.1655146332752109,0.052276115849370086,0.0,2.270470607600439,4.1355441457230135
2019-03-31,19.3779,6.260628,8.25,0.6084929415857143,0.15625047493457167,0.0,6.058814836707538,3.974361763593648
2019-04-30,19.0099,6.277345,8.25,-1.8990705907244942,0.2670179413311269,0.0,1.1821501186940253,4.167344262033934
2019-05-31,19.6426,6.272488,8.25,3.3282657983471964,-0.07737347556969754,0.0,-1.6685105552190271,4.439081553716839
2019-06-30,19.2087,6.258791,8.25,-2.2089743720281496,-0.21836630058119644,0.0,-2.450333143739325,4.087781243051514
2019-07-31,18.9929,6.274513,8.25,-1.1234492703827037,0.2511986739931027,0.0,1.8620915278053207,3.874255875641852
2019-08-31,20.0696,6.287395,8.0,5.668960506294463,0.20530677042187584,-0.25,4.642529406857432,3.557683787281807
2019-09-30,19.7345,6.291411,7.75,-1.6696894806074836,0.06387383009973657,-0.25,5.401883235148031,3.0197503027266315
2019-10-31,19.1948,6.315951,7.75,-2.73480453013758,0.39005558530511575,0.0,-5.52670823961372,3.007412481346483
